	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa
OG0010767			CNAG_00247-t26_1-p1						
OG0010768			CNAG_00249-t26_1-p1						
OG0010769			CNAG_00254-t26_1-p1						
OG0010770			CNAG_00255-t26_1-p1						
OG0010771			CNAG_00262-t26_1-p1						
OG0010772			CNAG_00262-t26_2-p1						
OG0010773			CNAG_00273-t26_1-p1						
OG0010774			CNAG_00278-t26_1-p1						
OG0010775			CNAG_00283-t26_1-p1						
OG0010776			CNAG_00295-t26_1-p1						
OG0010777			CNAG_00302-t26_1-p1						
OG0010778			CNAG_00304-t26_1-p1						
OG0010779			CNAG_00306-t26_1-p1						
OG0010780			CNAG_00321-t26_1-p1						
OG0010781			CNAG_00333-t26_1-p1						
OG0010782			CNAG_00336-t26_1-p1						
OG0010783			CNAG_00337-t26_1-p1						
OG0010784			CNAG_00342-t26_1-p1						
OG0010785			CNAG_00348-t26_1-p1						
OG0010786			CNAG_00349-t26_1-p1						
OG0010787			CNAG_00378-t26_1-p1						
OG0010788			CNAG_00387-t26_1-p1						
OG0010789			CNAG_00391-t26_1-p1						
OG0010790			CNAG_00406-t26_1-p1						
OG0010791			CNAG_00412-t26_1-p1						
OG0010792			CNAG_00416-t26_1-p1						
OG0010793			CNAG_00422-t26_1-p1						
OG0010794			CNAG_00422-t26_2-p1						
OG0010795			CNAG_00425-t26_1-p1						
OG0010796			CNAG_00435-t26_1-p1						
OG0010797			CNAG_00438-t26_1-p1						
OG0010798			CNAG_00444-t26_1-p1						
OG0010799			CNAG_00446-t26_1-p1						
OG0010800			CNAG_00456-t26_1-p1						
OG0010801			CNAG_00463-t26_1-p1						
OG0010802			CNAG_00474-t26_1-p1						
OG0010803			CNAG_00476-t26_1-p1						
OG0010804			CNAG_00480-t26_1-p1						
OG0010805			CNAG_00481-t26_1-p1						
OG0010806			CNAG_00484-t26_1-p1						
OG0010807			CNAG_00485-t26_1-p1						
OG0010808			CNAG_00487-t26_1-p1						
OG0010809			CNAG_00488-t26_1-p1						
OG0010810			CNAG_00488-t26_2-p1						
OG0010811			CNAG_00492-t26_1-p1						
OG0010812			CNAG_00493-t26_1-p1						
OG0010813			CNAG_00501-t26_1-p1						
OG0010814			CNAG_00503-t26_1-p1						
OG0010815			CNAG_00506-t26_1-p1						
OG0010816			CNAG_00511-t26_1-p1						
OG0010817			CNAG_00515-t26_1-p1						
OG0010818			CNAG_00515-t26_2-p1						
OG0010819			CNAG_00520-t26_1-p1						
OG0010820			CNAG_00523-t26_1-p1						
OG0010821			CNAG_00523-t26_2-p1						
OG0010822			CNAG_00526-t26_1-p1						
OG0010823			CNAG_00544-t26_1-p1						
OG0010824			CNAG_00549-t26_1-p1						
OG0010825			CNAG_00549-t26_2-p1						
OG0010826			CNAG_00568-t26_1-p1						
OG0010827			CNAG_00574-t26_1-p1						
OG0010828			CNAG_00574-t26_2-p1						
OG0010829			CNAG_00583-t26_1-p1						
OG0010830			CNAG_00586-t26_1-p1						
OG0010831			CNAG_00587-t26_1-p1						
OG0010832			CNAG_00588-t26_1-p1						
OG0010833			CNAG_00591-t26_1-p1						
OG0010834			CNAG_00600-t26_1-p1						
OG0010835			CNAG_00608-t26_1-p1						
OG0010836			CNAG_00614-t26_1-p1						
OG0010837			CNAG_00615-t26_1-p1						
OG0010838			CNAG_00626-t26_1-p1						
OG0010839			CNAG_00634-t26_1-p1						
OG0010840			CNAG_00634-t26_2-p1						
OG0010841			CNAG_00653-t26_1-p1						
OG0010842			CNAG_00653-t26_2-p1						
OG0010843			CNAG_00653-t26_3-p1						
OG0010844			CNAG_00657-t26_1-p1						
OG0010845			CNAG_00663-t26_1-p1						
OG0010846			CNAG_00664-t26_1-p1						
OG0010847			CNAG_00667-t26_1-p1						
OG0010848			CNAG_00668-t26_1-p1						
OG0010849			CNAG_00674-t26_1-p1						
OG0010850			CNAG_00687-t26_1-p1						
OG0010851			CNAG_00687-t26_2-p1						
OG0010852			CNAG_00698-t26_1-p1						
OG0010853			CNAG_00701-t26_1-p1						
OG0010854			CNAG_00704-t26_1-p1						
OG0010855			CNAG_00704-t26_2-p1						
OG0010856			CNAG_00723-t26_1-p1						
OG0010857			CNAG_00729-t26_1-p1						
OG0010858			CNAG_00746-t26_1-p1						
OG0010859			CNAG_00751-t26_1-p1						
OG0010860			CNAG_00753-t26_1-p1						
OG0010861			CNAG_00755-t26_1-p1						
OG0010862			CNAG_00759-t26_1-p1						
OG0010863			CNAG_00759-t26_2-p1						
OG0010864			CNAG_00765-t26_1-p1						
OG0010865			CNAG_00773-t26_1-p1						
OG0010866			CNAG_00780-t26_1-p1						
OG0010867			CNAG_00780-t26_2-p1						
OG0010868			CNAG_00782-t26_1-p1						
OG0010869			CNAG_00783-t26_1-p1						
OG0010870			CNAG_00789-t26_1-p1						
OG0010871			CNAG_00794-t26_1-p1						
OG0010872			CNAG_00795-t26_1-p1						
OG0010873			CNAG_00801-t26_1-p1						
OG0010874			CNAG_00805-t26_1-p1						
OG0010875			CNAG_00813-t26_1-p1						
OG0010876			CNAG_00817-t26_1-p1						
OG0010877			CNAG_00833-t26_1-p1						
OG0010878			CNAG_00835-t26_1-p1						
OG0010879			CNAG_00847-t26_1-p1						
OG0010880			CNAG_00849-t26_1-p1						
OG0010881			CNAG_00851-t26_1-p1						
OG0010882			CNAG_00858-t26_1-p1						
OG0010883			CNAG_00859-t26_1-p1						
OG0010884			CNAG_07030-t26_1-p1						
OG0010885			CNAG_07304-t26_1-p1						
OG0010886			CNAG_07305-t26_1-p1						
OG0010887			CNAG_07306-t26_1-p1						
OG0010888			CNAG_07307-t26_1-p1						
OG0010889			CNAG_07310-t26_1-p1						
OG0010890			CNAG_07313-t26_1-p1						
OG0010891			CNAG_07319-t26_1-p1						
OG0010892			CNAG_07325-t26_1-p1						
OG0010893			CNAG_07327-t26_1-p1						
OG0010894			CNAG_07330-t26_1-p1						
OG0010895			CNAG_07345-t26_1-p1						
OG0010896			CNAG_07355-t26_1-p1						
OG0010897			CNAG_07357-t26_1-p1						
OG0010898			CNAG_07364-t26_1-p1						
OG0010899			CNAG_07369-t26_1-p1						
OG0010900			CNAG_07375-t26_1-p1						
OG0010901			CNAG_07380-t26_1-p1						
OG0010902			CNAG_07388-t26_1-p1						
OG0010903			CNAG_07390-t26_1-p1						
OG0010904			CNAG_07391-t26_1-p1						
OG0010905			CNAG_07392-t26_1-p1						
OG0010906			CNAG_07393-t26_1-p1						
OG0010907			CNAG_07394-t26_1-p1						
OG0010908			CNAG_07947-t26_1-p1						
OG0010909			CNAG_07948-t26_1-p1						
OG0010910			CNAG_07948-t26_2-p1						
OG0010911			CNAG_07948-t26_3-p1						
OG0010912			CNAG_07949-t26_1-p1						
OG0010913			CNAG_07950-t26_1-p1						
OG0010914			CNAG_07950-t26_2-p1						
OG0010915			CNAG_07950-t26_3-p1						
OG0010916			CNAG_07953-t26_1-p1						
OG0010917			CNAG_07954-t26_1-p1						
OG0010918			CNAG_07954-t26_2-p1						
OG0010919			CNAG_07954-t26_3-p1						
OG0010920			CNAG_07955-t26_1-p1						
OG0010921			CNAG_07956-t26_1-p1						
OG0010922			CNAG_07958-t26_1-p1						
OG0010923			CNAG_07958-t26_2-p1						
OG0010924			CNAG_07961-t26_1-p1						
OG0010925			CNAG_03597-t26_1-p1						
OG0010926			CNAG_03597-t26_2-p1						
OG0010927			CNAG_03605-t26_1-p1						
OG0010928			CNAG_03607-t26_1-p1						
OG0010929			CNAG_03609-t26_1-p1						
OG0010930			CNAG_03613-t26_1-p1						
OG0010931			CNAG_03614-t26_1-p1						
OG0010932			CNAG_03620-t26_1-p1						
OG0010933			CNAG_03630-t26_1-p1						
OG0010934			CNAG_03635-t26_1-p1						
OG0010935			CNAG_03639-t26_1-p1						
OG0010936			CNAG_03642-t26_1-p1						
OG0010937			CNAG_03643-t26_1-p1						
OG0010938			CNAG_03644-t26_1-p1						
OG0010939			CNAG_03647-t26_1-p1						
OG0010940			CNAG_03649-t26_1-p1						
OG0010941			CNAG_03653-t26_1-p1						
OG0010942			CNAG_03656-t26_1-p1						
OG0010943			CNAG_03658-t26_1-p1						
OG0010944			CNAG_03667-t26_1-p1						
OG0010945			CNAG_03668-t26_1-p1						
OG0010946			CNAG_03671-t26_1-p1						
OG0010947			CNAG_03678-t26_1-p1						
OG0010948			CNAG_03680-t26_1-p1						
OG0010949			CNAG_03680-t26_2-p1						
OG0010950			CNAG_03687-t26_1-p1						
OG0010951			CNAG_03688-t26_1-p1						
OG0010952			CNAG_03696-t26_1-p1						
OG0010953			CNAG_03703-t26_1-p1						
OG0010954			CNAG_03704-t26_1-p1						
OG0010955			CNAG_03705-t26_1-p1						
OG0010956			CNAG_03712-t26_1-p1						
OG0010957			CNAG_03728-t26_1-p1						
OG0010958			CNAG_03731-t26_1-p1						
OG0010959			CNAG_03731-t26_2-p1						
OG0010960			CNAG_03734-t26_1-p1						
OG0010961			CNAG_03734-t26_2-p1						
OG0010962			CNAG_03734-t26_3-p1						
OG0010963			CNAG_03740-t26_1-p1						
OG0010964			CNAG_03744-t26_1-p1						
OG0010965			CNAG_03746-t26_1-p1						
OG0010966			CNAG_03752-t26_1-p1						
OG0010967			CNAG_03782-t26_1-p1						
OG0010968			CNAG_03784-t26_1-p1						
OG0010969			CNAG_03788-t26_1-p1						
OG0010970			CNAG_03797-t26_1-p1						
OG0010971			CNAG_03798-t26_1-p1						
OG0010972			CNAG_03809-t26_1-p1						
OG0010973			CNAG_03815-t26_1-p1						
OG0010974			CNAG_03825-t26_1-p1						
OG0010975			CNAG_03831-t26_1-p1						
OG0010976			CNAG_03833-t26_1-p1						
